Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"assert Math.abs(shippingCost - shipping) < EPSILON : ""Shipping charges are incorrect!""",Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.007s,FAILED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,07-12-2024 09:17:26,07-12-2024 09:17:26,0.000s,PASSED
,,,,,,,
Test Cases/Payment/PM_Check Billing Address and Shipping Address,Chrome 131.0.0.0,"Check that the “Billing Address” and “Shipping Address” fields are not blank. If they are blank, a red message will appear with a link to the page to update your billing and shipping addresses.",,07-12-2024 09:17:26,07-12-2024 09:19:22,1m - 55.591s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,07-12-2024 09:17:27,07-12-2024 09:17:57,30.366s,PASSED
"click(findTestObject(""Payment/a_Login""))",Chrome 131.0.0.0,,,07-12-2024 09:17:57,07-12-2024 09:18:04,6.755s,PASSED
"setText(findTestObject(""Payment/input_Email Address""), email_address)",Chrome 131.0.0.0,,,07-12-2024 09:18:04,07-12-2024 09:18:05,0.935s,PASSED
"setText(findTestObject(""Payment/input_Password""), password)",Chrome 131.0.0.0,,,07-12-2024 09:18:05,07-12-2024 09:18:06,1.177s,PASSED
"click(findTestObject(""Payment/btn_Login""))",Chrome 131.0.0.0,,,07-12-2024 09:18:06,07-12-2024 09:18:15,9.074s,PASSED
clickProductByIndex(7),Chrome 131.0.0.0,,,07-12-2024 09:18:15,07-12-2024 09:18:15,0.003s,PASSED
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:18:15,07-12-2024 09:18:15,0.002s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:18:15,07-12-2024 09:18:15,0.002s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:18:15,07-12-2024 09:18:15,0.003s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:18:15,07-12-2024 09:18:20,5.512s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:18:20,07-12-2024 09:18:29,8.445s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:18:29,07-12-2024 09:18:39,10.029s,PASSED
clickProductByIndex(8),Chrome 131.0.0.0,,,07-12-2024 09:18:39,07-12-2024 09:18:39,0.002s,PASSED
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:18:39,07-12-2024 09:18:39,0.000s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:18:39,07-12-2024 09:18:39,0.002s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:18:39,07-12-2024 09:18:39,0.001s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:18:39,07-12-2024 09:18:49,9.657s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:18:49,07-12-2024 09:18:55,6.740s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:18:55,07-12-2024 09:19:02,6.522s,PASSED
"click(findTestObject(""Payment/a_Cart""))",Chrome 131.0.0.0,,,07-12-2024 09:19:02,07-12-2024 09:19:08,6.250s,PASSED
"click(findTestObject(""Payment/a_Proceed to Checkout""))",Chrome 131.0.0.0,,,07-12-2024 09:19:08,07-12-2024 09:19:14,5.877s,PASSED
"billingCells = [""Payment/td_BA_Full Name"", ""Payment/td_BA_Company Name"", ""Payment/td_BA_Phone Number"", ""Payment/td_BA_Country"", ""Payment/td_BA_Address"", ""Payment/td_BA_City"", ""Payment/td_BA_State"", ""Payment/td_BA_Zip Code""]",Chrome 131.0.0.0,,,07-12-2024 09:19:14,07-12-2024 09:19:14,0.002s,PASSED
"shippingCells = [""Payment/td_SA_Full Name"", ""Payment/td_SA_Company Name"", ""Payment/td_SA_Phone Number"", ""Payment/td_SA_Country"", ""Payment/td_SA_Address"", ""Payment/td_SA_City"", ""Payment/td_SA_State"", ""Payment/td_SA_Zip Code""]",Chrome 131.0.0.0,,,07-12-2024 09:19:14,07-12-2024 09:19:14,0.002s,PASSED
"isBillingMissing = checkEmptyFields(billingCells, ""Billing Address"")",Chrome 131.0.0.0,,,07-12-2024 09:19:14,07-12-2024 09:19:14,0.006s,PASSED
isEmpty = false,Chrome 131.0.0.0,,,07-12-2024 09:19:14,07-12-2024 09:19:14,0.001s,PASSED
for (String cellPath : cellPaths),Chrome 131.0.0.0,,,07-12-2024 09:19:14,07-12-2024 09:19:15,0.850s,PASSED
return isEmpty,Chrome 131.0.0.0,,,07-12-2024 09:19:15,07-12-2024 09:19:15,0.001s,PASSED
"isShippingMissing = checkEmptyFields(shippingCells, ""Shipping Address"")",Chrome 131.0.0.0,,,07-12-2024 09:19:15,07-12-2024 09:19:15,0.001s,PASSED
isEmpty = false,Chrome 131.0.0.0,,,07-12-2024 09:19:15,07-12-2024 09:19:15,0.000s,PASSED
for (String cellPath : cellPaths),Chrome 131.0.0.0,,,07-12-2024 09:19:15,07-12-2024 09:19:15,0.648s,PASSED
return isEmpty,Chrome 131.0.0.0,,,07-12-2024 09:19:15,07-12-2024 09:19:15,0.003s,PASSED
if (isBillingMissing || isShippingMissing),Chrome 131.0.0.0,,,07-12-2024 09:19:15,07-12-2024 09:19:22,6.100s,PASSED
Start listener action : sampleAfterTestCase,Chrome 131.0.0.0,,,07-12-2024 09:19:22,07-12-2024 09:19:22,0.003s,PASSED
,,,,,,,
Test Cases/Payment/PM_Check that the Back to Cart button is working,Chrome 131.0.0.0,"The ""Back to Cart"" button works correctly, redirecting the user to the cart page",,07-12-2024 09:19:22,07-12-2024 09:20:54,1m - 32.411s,PASSED
openBrowser(url),Chrome 131.0.0.0,,,07-12-2024 09:19:22,07-12-2024 09:19:42,20.575s,PASSED
"click(findTestObject(""Payment/a_Login""))",Chrome 131.0.0.0,,,07-12-2024 09:19:42,07-12-2024 09:19:48,6.074s,PASSED
"setText(findTestObject(""Payment/input_Email Address""), email_address)",Chrome 131.0.0.0,,,07-12-2024 09:19:48,07-12-2024 09:19:49,0.872s,PASSED
"setText(findTestObject(""Payment/input_Password""), password)",Chrome 131.0.0.0,,,07-12-2024 09:19:49,07-12-2024 09:19:50,0.811s,PASSED
"click(findTestObject(""Payment/btn_Login""))",Chrome 131.0.0.0,,,07-12-2024 09:19:50,07-12-2024 09:19:59,9.107s,PASSED
clickProductByIndex(7),Chrome 131.0.0.0,,,07-12-2024 09:19:59,07-12-2024 09:19:59,0.003s,PASSED
dynamicProduct = new com.kms.katalon.core.testobject.TestObject(),Chrome 131.0.0.0,,,07-12-2024 09:19:59,07-12-2024 09:19:59,0.004s,PASSED
"xpath = ""(//a[contains(text(),'Product Details')])["" + index + ""]""",Chrome 131.0.0.0,,,07-12-2024 09:19:59,07-12-2024 09:19:59,0.002s,PASSED
"dynamicProduct.addProperty(""xpath"", EQUALS, xpath)",Chrome 131.0.0.0,,,07-12-2024 09:19:59,07-12-2024 09:19:59,0.004s,PASSED
click(dynamicProduct),Chrome 131.0.0.0,,,07-12-2024 09:19:59,07-12-2024 09:20:05,6.123s,PASSED
"click(findTestObject(""Payment/btn_Add to cart""))",Chrome 131.0.0.0,,,07-12-2024 09:20:05,07-12-2024 09:20:13,8.105s,PASSED
"click(findTestObject(""Payment/a_Home""))",Chrome 131.0.0.0,,,07-12-2024 09:20:13,07-12-2024 09:20:19,5.687s,PASSED
clickProductByIndex(8),Chrome 131.0.0.0,,,07-12-2024 09:20:19,07-12-2024 09:20:19,0.001s,PASSED
